Titre - Devise;ID GEO Devise;Code Devise;Symbole Devise;Pays;Continent;Actif;Ordre Affichage;Validation DSE
Swedish krona;ID-GEO-DEV-000117;SEK;kr;Suède;Europe;Oui;117;Non
Singapore dollar;ID-GEO-DEV-000118;SGD;$;Singapour;Asie;Oui;118;Non
Saint Helena pound;ID-GEO-DEV-000119;SHP;£;Sainte-Hélène;Afrique;Oui;119;Non
Sierra Leonean leone;ID-GEO-DEV-000120;SLE;Le;Sierra Leone;Afrique;Oui;120;Non
Somali shilling;ID-GEO-DEV-000121;SOS;Sh;Somalie;Afrique;Oui;121;Non
Surinamese dollar;ID-GEO-DEV-000122;SRD;$;Surinam;Amérique du Sud;Oui;122;Non
South Sudanese pound;ID-GEO-DEV-000123;SSP;£;Soudan du Sud;Afrique;Oui;123;Non
São Tomé and Príncipe dobra;ID-GEO-DEV-000124;STN;Db;Sao Tomé-et-Principe;Afrique;Oui;124;Non
Salvadoran colón;ID-GEO-DEV-000125;SVC;₡;Salvador;Amérique du Nord;Oui;125;Non
Syrian pound;ID-GEO-DEV-000126;SYP;£;Syrie;Asie;Oui;126;Non
Eswatini lilangeni;ID-GEO-DEV-000127;SZL;L;Swaziland;Afrique;Oui;127;Non
Thai baht;ID-GEO-DEV-000128;THB;฿;Thaïlande;Asie;Oui;128;Non
Tajikistani somoni;ID-GEO-DEV-000129;TJS;SM;Tadjikistan;Asie;Oui;129;Non
Turkmenistani manat;ID-GEO-DEV-000130;TMT;m;Turkménistan;Asie;Oui;130;Non
Tunisian dinar;ID-GEO-DEV-000131;TND;د.ت;Tunisie;Afrique;Oui;131;Non
Tongan paʻanga;ID-GEO-DEV-000132;TOP;T$;Tonga;Océanie;Oui;132;Non
Turkish lira;ID-GEO-DEV-000133;TRY;₺;Turquie;Asie;Oui;133;Non
Trinidad and Tobago dollar;ID-GEO-DEV-000134;TTD;$;Trinité et Tobago;Amérique du Nord;Oui;134;Non
New Taiwan dollar;ID-GEO-DEV-000135;TWD;NT$;Taïwan;Asie;Oui;135;Non
Tanzanian shilling;ID-GEO-DEV-000136;TZS;Sh;Tanzanie;Afrique;Oui;136;Non
Ukrainian hryvnia;ID-GEO-DEV-000137;UAH;₴;Ukraine;Europe;Oui;137;Non
Ugandan shilling;ID-GEO-DEV-000138;UGX;USh;Uganda;Afrique;Oui;138;Non
United States dollar;ID-GEO-DEV-000139;USD;$;Bonaire, Saint-Eustache et Saba | Équateur | États-Unis | Guam | Haïti | Îles Mariannes du Nord | Îles Marshall | Îles mineures éloignées des États-Unis | Îles Turques-et-Caïques | Îles Vierges britanniques | Îles Vierges des États-Unis | Micronésie | Palaos | Panama | Porto Rico | Salvador | Samoa américaines | Territoire britannique de l'océan Indien | Timor oriental;Afrique | Amérique du Nord | Amérique du Sud | Asie | Océanie;Oui;139;Non
Uruguayan peso;ID-GEO-DEV-000140;UYU;$;Uruguay;Amérique du Sud;Oui;140;Non
Uzbekistani sum;ID-GEO-DEV-000141;UZS;so'm;Ouzbékistan;Asie;Oui;141;Non
Venezuelan bolívar soberano;ID-GEO-DEV-000142;VES;Bs.;Venezuela;Amérique du Sud;Oui;142;Non
Vietnamese đồng;ID-GEO-DEV-000143;VND;₫;Viêt Nam;Asie;Oui;143;Non
Vanuatu vatu;ID-GEO-DEV-000144;VUV;Vt;Vanuatu;Océanie;Oui;144;Non
Samoan tālā;ID-GEO-DEV-000145;WST;T;Samoa;Océanie;Oui;145;Non
Central African CFA franc;ID-GEO-DEV-000146;XAF;FCFA;Cameroun | Congo | Gabon | Guinée-Équatoriale | République centrafricaine | Tchad;Afrique;Oui;146;Non
East Caribbean dollar;ID-GEO-DEV-000147;XCD;$;Anguilla | Antigua-et-Barbuda | Dominique | Grenade | Montserrat | Saint-Christophe-et-Niévès | Saint-Lucie | Saint-Vincent-et-les-Grenadines;Amérique du Nord;Oui;147;Non
Caribbean guilder;ID-GEO-DEV-000148;XCG;ƒ;Curaçao | Saint-Martin (partie néerlandaise);Amérique du Nord;Oui;148;Non
West African CFA franc;ID-GEO-DEV-000149;XOF;CFA;Bénin | Burkina Faso | Côte d’Ivoire | Guinée-Bissau | Mali | Niger | Sénégal | Togo;Afrique;Oui;149;Non
CFP franc;ID-GEO-DEV-000150;XPF;₣;Nouvelle-Calédonie | Polynésie française | Wallis-et-Futuna;Océanie;Oui;150;Non
Yemeni rial;ID-GEO-DEV-000151;YER;﷼;Yémen;Asie;Oui;151;Non
South African rand;ID-GEO-DEV-000152;ZAR;R;Afrique du Sud | Lesotho | Namibie | Swaziland;Afrique;Oui;152;Non
Zambian kwacha;ID-GEO-DEV-000153;ZMW;ZK;Zambie;Afrique;Oui;153;Non
Zimbabwe Gold;ID-GEO-DEV-000154;ZWG;ZiG;Zimbabwe;Afrique;Oui;154;Non
