"id";"Title";"IDGeoLangue";"CodeLangue";"CodeISO6391";"Actif";"ValidationDSE";"Verrouille";"ControlePascAra";"AnomalieDetectee";"OrdreAffichage";"NotesDSE";"Pays";"Continent";"OBJREF";"Modified";"Created";"Author";"Editor"
"50";"Luxembourgeois";"ID-GEO-LAN-000050";"LB";"lb";"Oui";"Non";"Non";"Non";"Non";"50";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Luxembourg";"Europe";"";"09/10/2026 05:50:16";"09/10/2026 05:50:16";"UserId:11";"UserId:11"
"51";"Lingala";"ID-GEO-LAN-000051";"LN";"ln";"Oui";"Non";"Non";"Non";"Non";"51";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Congo | République démocratique du Congo";"Afrique";"";"09/10/2026 05:50:18";"09/10/2026 05:50:18";"UserId:11";"UserId:11"
"52";"Lao";"ID-GEO-LAN-000052";"LO";"lo";"Oui";"Non";"Non";"Non";"Non";"52";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Laos";"Asie";"";"09/10/2026 05:50:20";"09/10/2026 05:50:20";"UserId:11";"UserId:11"
"53";"Lituanien";"ID-GEO-LAN-000053";"LT";"lt";"Oui";"Non";"Non";"Non";"Non";"53";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Lituanie";"Europe";"";"09/10/2026 05:50:22";"09/10/2026 05:50:22";"UserId:11";"UserId:11"
"54";"Tshiluba";"ID-GEO-LAN-000054";"LU";"lu";"Oui";"Non";"Non";"Non";"Non";"54";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"République démocratique du Congo";"Afrique";"";"09/10/2026 05:50:24";"09/10/2026 05:50:24";"UserId:11";"UserId:11"
"55";"Letton";"ID-GEO-LAN-000055";"LV";"lv";"Oui";"Non";"Non";"Non";"Non";"55";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Lettonie";"Europe";"";"09/10/2026 05:50:26";"09/10/2026 05:50:26";"UserId:11";"UserId:11"
"56";"Malgache";"ID-GEO-LAN-000056";"MG";"mg";"Oui";"Non";"Non";"Non";"Non";"56";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Madagascar";"Afrique";"";"09/10/2026 05:50:28";"09/10/2026 05:50:28";"UserId:11";"UserId:11"
"57";"Marshallais";"ID-GEO-LAN-000057";"MH";"mh";"Oui";"Non";"Non";"Non";"Non";"57";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Îles Marshall";"Océanie";"";"09/10/2026 05:50:30";"09/10/2026 05:50:30";"UserId:11";"UserId:11"
"58";"Maori";"ID-GEO-LAN-000058";"MI";"mi";"Oui";"Non";"Non";"Non";"Non";"58";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Nouvelle-Zélande";"Océanie";"";"09/10/2026 05:50:33";"09/10/2026 05:50:33";"UserId:11";"UserId:11"
"59";"Macédonien";"ID-GEO-LAN-000059";"MK";"mk";"Oui";"Non";"Non";"Non";"Non";"59";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Macédoine";"Europe";"";"09/10/2026 05:50:35";"09/10/2026 05:50:35";"UserId:11";"UserId:11"
"60";"Mongol";"ID-GEO-LAN-000060";"MN";"mn";"Oui";"Non";"Non";"Non";"Non";"60";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Mongolie";"Asie";"";"09/10/2026 05:50:36";"09/10/2026 05:50:36";"UserId:11";"UserId:11"
"61";"Malais";"ID-GEO-LAN-000061";"MS";"ms";"Oui";"Non";"Non";"Non";"Non";"61";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Brunéi Darussalam | Singapour";"Asie";"";"09/10/2026 05:50:38";"09/10/2026 05:50:38";"UserId:11";"UserId:11"
"62";"Maltais";"ID-GEO-LAN-000062";"MT";"mt";"Oui";"Non";"Non";"Non";"Non";"62";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Malte";"Europe";"";"09/10/2026 05:50:40";"09/10/2026 05:50:40";"UserId:11";"UserId:11"
"63";"Birman";"ID-GEO-LAN-000063";"MY";"my";"Oui";"Non";"Non";"Non";"Non";"63";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Myanmar";"Asie";"";"09/10/2026 05:50:43";"09/10/2026 05:50:43";"UserId:11";"UserId:11"
"64";"Nauruan";"ID-GEO-LAN-000064";"NA";"na";"Oui";"Non";"Non";"Non";"Non";"64";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Nauru";"Océanie";"";"09/10/2026 05:50:45";"09/10/2026 05:50:45";"UserId:11";"UserId:11"
"65";"Norvégien bokmål";"ID-GEO-LAN-000065";"NB";"nb";"Oui";"Non";"Non";"Non";"Non";"65";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Norvège";"Europe";"";"09/10/2026 05:50:47";"09/10/2026 05:50:47";"UserId:11";"UserId:11"
"66";"Sindebele";"ID-GEO-LAN-000066";"ND";"nd";"Oui";"Non";"Non";"Non";"Non";"66";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Zimbabwe";"Afrique";"";"09/10/2026 05:50:49";"09/10/2026 05:50:49";"UserId:11";"UserId:11"
"67";"Népalais";"ID-GEO-LAN-000067";"NE";"ne";"Oui";"Non";"Non";"Non";"Non";"67";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Népal";"Asie";"";"09/10/2026 05:50:51";"09/10/2026 05:50:51";"UserId:11";"UserId:11"
"68";"Néerlandais";"ID-GEO-LAN-000068";"NL";"nl";"Oui";"Non";"Non";"Non";"Non";"68";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Aruba | Belgique | Bonaire, Saint-Eustache et Saba | Curaçao | Pays-Bas | Saint-Martin (partie néerlandaise) | Surinam";"Amérique du Nord | Amérique du Sud | Europe";"";"09/10/2026 05:50:53";"09/10/2026 05:50:53";"UserId:11";"UserId:11"
"69";"Norvégien nynorsk";"ID-GEO-LAN-000069";"NN";"nn";"Oui";"Non";"Non";"Non";"Non";"69";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Norvège";"Europe";"";"09/10/2026 05:50:55";"09/10/2026 05:50:55";"UserId:11";"UserId:11"
"70";"Norvégien";"ID-GEO-LAN-000070";"NO";"no";"Oui";"Non";"Non";"Non";"Non";"70";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Norvège | Svalbard et Jan Mayen | Île Bouvet";"Antarctique | Europe";"";"09/10/2026 05:50:57";"09/10/2026 05:50:57";"UserId:11";"UserId:11"
"71";"Ndébélé du Sud";"ID-GEO-LAN-000071";"NR";"nr";"Oui";"Non";"Non";"Non";"Non";"71";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afrique du Sud";"Afrique";"";"09/10/2026 05:50:59";"09/10/2026 05:50:59";"UserId:11";"UserId:11"
"72";"Chichewa";"ID-GEO-LAN-000072";"NY";"ny";"Oui";"Non";"Non";"Non";"Non";"72";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Malawi";"Afrique";"";"09/10/2026 05:51:01";"09/10/2026 05:51:01";"UserId:11";"UserId:11"
"73";"Pendjabi";"ID-GEO-LAN-000073";"PA";"pa";"Oui";"Non";"Non";"Non";"Non";"73";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Aruba";"Amérique du Nord";"";"09/10/2026 05:51:03";"09/10/2026 05:51:03";"UserId:11";"UserId:11"
"74";"Polonais";"ID-GEO-LAN-000074";"PL";"pl";"Oui";"Non";"Non";"Non";"Non";"74";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Pologne";"Europe";"";"09/10/2026 05:51:05";"09/10/2026 05:51:05";"UserId:11";"UserId:11"
"75";"Pachto";"ID-GEO-LAN-000075";"PS";"ps";"Oui";"Non";"Non";"Non";"Non";"75";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Afghanistan";"Asie";"";"09/10/2026 05:51:07";"09/10/2026 05:51:07";"UserId:11";"UserId:11"
"76";"Portugais";"ID-GEO-LAN-000076";"PT";"pt";"Oui";"Non";"Non";"Non";"Non";"76";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Angola | Brésil | Cap-Vert | Guinée-Bissau | Macao | Mozambique | Portugal | Sao Tomé-et-Principe | Timor oriental";"Afrique | Amérique du Sud | Asie | Europe";"";"09/10/2026 05:51:09";"09/10/2026 05:51:09";"UserId:11";"UserId:11"
"77";"Quechua";"ID-GEO-LAN-000077";"QU";"qu";"Oui";"Non";"Non";"Non";"Non";"77";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Bolivie";"Amérique du Sud";"";"09/10/2026 05:51:11";"09/10/2026 05:51:11";"UserId:11";"UserId:11"
"78";"Kirundi";"ID-GEO-LAN-000078";"RN";"rn";"Oui";"Non";"Non";"Non";"Non";"78";"Import CSV initial. Operation : IMPORT-GEO-LANGUE-20260910-074827";"Burundi";"Afrique";"";"09/10/2026 05:51:13";"09/10/2026 05:51:13";"UserId:11";"UserId:11"
